City,Original Equipment Manufacturer,Car,Year,Price,Kms Driven,Owner,Fuel Type,Transmission,Mileage,Max Power,Engine
Bangalore,Hyundai,Hyundai i20,2012,3.0,110000.0,3,Petrol,Manual,17.0,,1197.0
Bangalore,Ford,Ford Endeavour,2017,29.75,89000.0,1,Diesel,Automatic,10.91,197.0,3198.0
Bangalore,Maruti,Maruti Alto 800,2014,2.76,29813.0,2,Petrol,Manual,22.05,47.33,796.0
Bangalore,Ford,Ford Figo,2018,5.0,30000.0,1,Petrol,Manual,18.16,86.8,1196.0
Bangalore,Maruti,Maruti Ignis,2020,7.3,13345.0,1,Petrol,Automatic,20.89,81.8,1197.0
Bangalore,Hyundai,Hyundai Alcazar,2022,22.45,17100.0,1,Diesel,Automatic,18.1,113.42,1498.0
Bangalore,Hyundai,Hyundai Grand i10,2014,3.99,75000.0,1,Petrol,Manual,18.9,82.0,1197.0
Bangalore,Hyundai,Hyundai i10,2011,3.12,75523.0,2,Petrol,Manual,20.36,78.9,1197.0
Bangalore,Mahindra,Mahindra XUV500,2015,12.75,47000.0,1,Diesel,Manual,16.0,140.0,2179.0
Bangalore,Tata,Tata Harrier,2022,19.9,36500.0,1,Diesel,Manual,16.35,167.67,1956.0
Bangalore,Renault,Renault Triber,2020,7.19,28253.0,1,Petrol,Manual,20.0,71.01,999.0
Bangalore,Hyundai,Hyundai Creta,2016,12.6,50000.0,1,Diesel,Manual,19.67,126.2,1582.0
Bangalore,Hyundai,Hyundai i10,2010,3.0,90000.0,2,Petrol,Manual,20.36,78.9,1197.0
Bangalore,BMW,BMW X5,2016,39.81,70000.0,2,Diesel,Automatic,15.97,258.0,2993.0
Bangalore,Hyundai,Hyundai i20,2016,6.27,52571.0,1,Petrol,Manual,18.6,81.83,1197.0
Bangalore,BMW,BMW 3 Series,2010,13.0,70000.0,2,Diesel,Automatic,16.07,181.0,1995.0
Bangalore,Honda,Honda City,2015,6.72,61993.0,1,Petrol,Manual,17.4,117.3,1497.0
Bangalore,Hyundai,Hyundai Tucson,2017,18.25,57000.0,1,Diesel,Automatic,16.38,182.46,1995.0
Bangalore,Toyota,Toyota Fortuner,2021,35.0,80000.0,2,Diesel,Manual,14.24,174.5,2755.0
Bangalore,Hyundai,Hyundai i20,2013,4.4,36359.0,1,Petrol,Manual,18.5,82.85,1197.0
Bangalore,Tata,Tata Harrier,2019,14.6,70000.0,2,Diesel,Manual,17.0,138.1,1956.0
Bangalore,MG,MG Hector,2022,20.41,7500.0,1,Petrol,Automatic,,141.0,1451.0
Bangalore,Hyundai,Hyundai Verna,2017,10.33,30301.0,1,Petrol,Automatic,17.0,121.3,1591.0
Bangalore,Hyundai,Hyundai i10,2010,2.75,66000.0,1,Petrol,Manual,20.36,78.9,1197.0
Bangalore,Hyundai,Hyundai i20,2017,6.76,56010.0,1,Petrol,Manual,18.6,81.83,1197.0
Bangalore,Mercedes-Benz,Mercedes-Benz GLC,2017,42.9,47000.0,1,Diesel,Automatic,17.9,170.0,2143.0
